# Endlink Bedrock block joining faces. Generated: do not edit by hand.
#
# One line per Bedrock block state that a fence, glass pane, iron or copper bar or wall reaches out
# to, and nothing for the ones none of them touch. The id is the hashed block network id a 1.26.40 to
# 1.26.45 backend sends; the word is sixteen bits, one per side and joining kind, laid out exactly as
# Java's own rule answers it: bit (side * 4 + kind) is set when a joining block of that kind standing
# on that side of this block reaches it. Sides are north, south, west, east in that order, and the
# kinds are 0 wooden fence, 1 glass pane and bar, 2 wall, 3 nether brick fence.
#
# Provenance. The facts are Java's, because 1.26.50's minecraft:connection_* states exist for parity
# with Java, and they were extracted by running the official Java server's own connectsTo and
# attachsTo against its own registry for every block state on every side - not by restating the rule.
# That extraction, and the Bedrock-to-Java block-state mapping used to key it by Bedrock id, are both
# Apache-2.0 generated artifacts of the viaendlink-next project:
#
#   viaendlink-next  java-protocol-latest/.../java-776-connections.txt   (tools/GenerateJava776Connections.java)
#   viaendlink-next  endlink-plugin/.../bedrock-2168-blocks.txt          (tools/GenerateBedrockBlockMapping.java)
#
# whose own inputs are Mojang's official Java server and block report, CloudburstMC/Data's Bedrock
# 2168 block palette (Apache-2.0) and GeyserMC/mappings (MIT). No GPL-licensed work is involved at
# any step, which the licence separation in WORKSPACE.md requires.
#
# Checked on generation against blocks whose answer is known from Java's source: stone, dirt and
# glass are reached on all four sides by every kind; barrier is reached by none, because Java's
# isExceptionForConnection excludes it; an oak fence is reached by fences and by nothing else; and a
# glass pane is reached by panes and walls but never by a fence.
bedrock 2169
kinds 4
faces 8593
face -2147362729 6666
face -2146985701 6666
face -2145971089 6666
face -2145919237 00f0
face -2145176195 ffff
face -2145013957 00f0
face -2144268767 ffff
face -2144106048 ffff
face -2143578747 f000
face -2143075483 6666
face -2142683014 6666
face -2142161220 6666
face -2141897929 6666
face -2141634374 6666
face -2141595723 6666
face -2140760526 6666
face -2140609367 ffff
face -2140356527 00f0
face -2139977322 6666
face -2138351765 6666
face -2138025090 6666
face -2137611148 000f
face -2137585456 6666
face -2136771931 6666
face -2136653723 ffff
face -2135990275 000f
face -2135278291 6666
face -2134295386 00f0
face -2132861353 6666
face -2130652651 6666
face -2130077302 ffff
face -2127983831 6666
face -2127543620 ffff
face -2126961618 ffff
face -2126461104 0f00
face -2126041147 6666
face -2123948382 6666
face -2123862396 6666
face -2123630830 6666
face -2123104460 6666
face -2123000649 6666
face -2122743334 6666
face -2121346528 6666
face -2121324123 6666
face -2121006652 6666
face -2120822584 6666
face -2120043679 6666
face -2119838146 6666
face -2119671244 6666
face -2119535187 0f00
face -2119209944 6666
face -2119162770 6666
face -2118083692 6666
face -2116897569 6666
face -2116876659 6666
face -2116648370 6666
face -2115277505 ffff
face -2114425119 dd00
face -2114018619 6666
face -2113209763 6666
face -2112009458 ffff
face -2111322185 6666
face -2111244771 0f00
face -2110709133 000f
face -2110447824 6666
face -2110181483 0f00
face -2109828569 00f0
face -2109520968 6666
face -2108756090 ffff
face -2108259203 6666
face -2108199137 ffff
face -2106934849 f000
face -2106754178 ffff
face -2106132696 6666
face -2105836005 000f
face -2104729228 000f
face -2104544620 6666
face -2103598048 6666
face -2103137429 ffff
face -2102985948 6666
face -2102972404 6666
face -2102815391 ffff
face -2102319411 ffff
face -2102036735 6666
face -2101860854 6666
face -2101678017 6666
face -2101481793 6666
face -2100908967 6666
face -2100611868 6666
face -2100510987 6666
face -2100389456 ffff
face -2099850463 6666
face -2098893728 000f
face -2098753440 6666
face -2098751086 6666
face -2098693442 6666
face -2098672985 00dd
face -2097250337 6666
face -2096311843 ffff
face -2095917761 6666
face -2094691115 6666
face -2093726258 6666
face -2093611356 ffff
